p09_2,p134e,p70,p35,p09_3,p140,p58,p62g,p126p,p151,p15,p06,p40m,p40,p134c,p128b,p138,p66,p115,p34_f,p134i,p128a,p23,p130c_11,p116,p33_f,p62h,p117,p113,p134f,p134h,p93,p139,p113_11,CIUO2,p130b,p130d,p98,p86,p68,p13,p05,p53,p43m,p43,p46,p133,p64,p38_11,p38m_11,p54,p136,p76,OBJ_pobre_a_rico,OBJ_pobre_a_rico_cluster,OBJ_pobre_a_rico_n_clusters,OBJ_pobre_a_rico_ponderador_mean,OBJ_rico_a_pobre_cluster,OBJ_rico_a_pobre_n_clusters,OBJ_rico_a_pobre_ponderador_mean,OBJ_rico_a_pobre,OBJ_siguie_siendo_rico_cluster,OBJ_siguie_siendo_rico_n_clusters,OBJ_siguie_siendo_rico_ponderador_mean,OBJ_siguie_siendo_rico,OBJ_siguie_siendo_pobre_cluster,OBJ_siguie_siendo_pobre_n_clusters,OBJ_siguie_siendo_pobre_ponderador_mean,OBJ_siguie_siendo_pobre,OBJ_sigue_siendo_clase_media_cluster,OBJ_sigue_siendo_clase_media_n_clusters,OBJ_sigue_siendo_clase_media_ponderador_mean,OBJ_sigue_siendo_clase_media,OBJ_clase_media_a_rico_cluster,OBJ_clase_media_a_rico_n_clusters,OBJ_clase_media_a_rico_ponderador_mean,OBJ_clase_media_a_rico,OBJ_clase_media_a_pobre_cluster,OBJ_clase_media_a_pobre_n_clusters,OBJ_clase_media_a_pobre_ponderador_mean,OBJ_clase_media_a_pobre,OBJ_subieron_cluster,OBJ_subieron_n_clusters,OBJ_subieron_ponderador_mean,OBJ_subieron,OBJ_bajaron_cluster,OBJ_bajaron_n_clusters,OBJ_bajaron_ponderador_mean,OBJ_bajaron
8.0,2,3.0,1,9.0,2.0,5.0,1,0,7,1.0,2,2.0,1.0,1,2,1.0,1.0,2.0,0,1,2,6.0,11.0,2.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,21.0,30.0,1,4.0,41.0,9,2.0,2.0,1.0,4,14.0,80.0,80.0,0,3,35,0,273.0,101,5.121654571195563,39.0,85,5.096535854594515,0,67.0,51,5.205839933613398,0,281.0,76,5.688628284205595,0,104.0,110,7.041861278018612,1,380.0,102,5.149487475300338,0,281.0,104,5.186630229825904,0,84.0,87,7.9932322252164445,0,229.0,9,6.815756004175882,0
8.0,1,3.0,2,8.0,5.0,5.0,2,0,8,6.0,2,2.0,2.0,1,2,5.0,1.0,2.0,0,2,2,24.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,97.0,54.0,7,2.0,2.0,1.0,4,8.0,92.0,76.0,0,6,0,0,208.0,101,5.129078174791896,39.0,84,5.097393642703828,0,460.0,52,5.293829776908918,0,256.0,82,6.156484136143545,0,105.0,113,6.946161346685132,0,291.0,96,5.155076453124997,0,213.0,101,5.164891495399855,0,164.0,87,8.18495568920655,1,34.0,7,6.085403643712813,0
2.0,8,3.0,1,8.0,5.0,5.0,8,0,6,1.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,1,1,9.0,11.0,1.0,0,8,2.0,1.0,1,8,2.0,2.0,15.0,6114.0,2,2,19.0,40.0,1,5.0,45.0,7,2.0,2.0,8.0,2,4.0,90.0,90.0,0,0,35,0,79.0,104,5.132351242977951,39.0,83,5.091619859185469,0,292.0,54,5.217209193161462,0,142.0,81,6.033852634130098,0,105.0,123,6.963344662595234,0,350.0,101,5.147951484536566,0,193.0,104,5.21798277487869,0,363.0,89,7.986394785098525,0,250.0,8,6.413713858743016,1
8.0,1,3.0,2,8.0,5.0,5.0,2,0,5,1.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,2.0,11.0,6.0,0,1,2.0,2.0,2,1,2.0,2.0,13.0,6114.0,2,2,22.0,48.0,1,4.0,42.0,7,2.0,2.0,1.0,4,16.0,72.0,66.0,0,0,4,0,85.0,100,5.126994230868913,39.0,84,5.096705990249892,0,84.0,51,5.1777460595012785,0,246.0,71,5.616025858695275,0,83.0,109,7.0300103580635,0,398.0,101,5.160461920943658,0,281.0,105,5.190735933769081,0,84.0,88,8.043282775918355,0,278.0,8,6.617904886403986,0
1.0,1,3.0,2,8.0,5.0,5.0,2,0,9,8.0,2,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,9.0,28.0,6.0,0,1,2.0,2.0,1,1,5.0,2.0,13.0,6114.0,2,2,21.0,45.0,2,6.0,50.0,7,2.0,2.0,1.0,3,17.0,81.0,79.0,0,0,0,0,300.0,103,5.11989470429945,39.0,84,5.097039441482762,0,302.0,49,5.260174994361621,0,147.0,74,5.577238967187664,0,105.0,110,7.0150820197306105,0,332.0,105,5.1577939399455905,0,2.0,105,5.156352243539138,0,118.0,97,8.285120851814561,1,250.0,8,6.3357632967033055,0
11.0,2,3.0,1,8.0,5.0,5.0,1,0,7,1.0,2,2.0,2.0,1,1,1.0,2.0,2.0,1,1,2,21.0,11.0,6.0,0,1,1.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,24.0,40.0,1,11.0,30.0,6,6.0,4.0,1.0,4,24.0,57.0,48.0,1,0,1,0,228.0,99,5.094747095495525,164.0,84,5.103912925117977,0,249.0,56,6.104785408068173,0,31.0,73,5.430242191604315,0,20.0,106,6.979831543666407,0,9.0,107,5.1583498626630435,0,74.0,95,5.1446755948522425,0,90.0,81,7.049315319033432,0,25.0,60,7.675931507193455,1
11.0,1,3.0,2,8.0,5.0,5.0,1,0,8,1.0,2,2.0,2.0,1,2,1.0,2.0,1.0,0,2,2,32.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,9111.0,2,2,23.0,40.0,1,11.0,27.0,1,4.0,2.0,1.0,5,23.0,70.0,47.0,35,0,22,0,66.0,97,5.1025389778000525,39.0,87,5.095931749493395,0,277.0,51,6.2787403953019565,0,31.0,73,5.4502988481815065,0,105.0,109,6.994368366271295,0,197.0,105,5.162775397412997,0,192.0,98,5.147734484158797,0,196.0,87,7.452182815620798,1,326.0,34,7.567644495912723,0
8.0,1,3.0,1,8.0,5.0,5.0,1,0,9,1.0,2,2.0,1.0,1,1,5.0,2.0,1.0,0,1,1,10.0,11.0,6.0,0,2,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,13.0,48.0,1,8.0,42.0,7,7.0,2.0,1.0,5,18.0,68.0,64.0,0,35,14,0,252.0,100,5.106604022129404,39.0,84,5.098963222089381,0,75.0,55,6.004451792634941,1,99.0,74,5.406352997317528,0,101.0,112,6.994178597701245,0,160.0,106,5.183954913094199,0,174.0,101,5.136607475389711,0,50.0,86,7.672849359423908,0,80.0,12,7.173407615992929,0
3.0,2,3.0,1,8.0,5.0,5.0,1,0,8,7.0,1,2.0,2.0,1,1,1.0,2.0,1.0,0,2,2,3.0,11.0,1.0,0,2,1.0,2.0,1,1,8.0,2.0,13.0,6114.0,2,2,28.0,45.0,2,11.0,62.0,7,2.0,2.0,1.0,8,28.0,84.0,80.0,0,0,0,0,26.0,103,5.175084270445627,39.0,84,5.094601221440587,0,580.0,47,5.819222363559103,1,22.0,74,5.461600587442929,0,105.0,112,6.980327873146975,0,285.0,106,5.22088097620832,0,77.0,97,5.137893254915609,0,122.0,98,8.217166723607038,0,316.0,8,6.425524036697791,0
7.0,2,3.0,1,8.0,5.0,5.0,1,0,4,1.0,1,2.0,2.0,1,2,1.0,2.0,1.0,1,1,1,20.0,11.0,6.0,0,2,2.0,2.0,1,1,1.0,2.0,13.0,6114.0,2,2,18.0,50.0,1,4.0,39.0,7,2.0,2.0,1.0,8,14.0,58.0,58.0,0,0,35,0,273.0,95,5.116158961563564,164.0,85,5.09930754789239,0,348.0,49,5.424967610466201,0,40.0,77,5.684396572388297,0,83.0,110,7.02823278532675,0,294.0,108,5.137332050661983,0,256.0,109,5.193341390327748,0,196.0,87,7.523872092980031,1,27.0,35,7.709936600899854,0
8.0,2,3.0,2,8.0,5.0,5.0,1,0,8,1.0,2,2.0,2.0,1,2,5.0,2.0,1.0,0,2,2,6.0,11.0,6.0,0,1,2.0,2.0,1,2,2.0,2.0,13.0,9111.0,2,2,34.0,4.0,1,4.0,60.0,1,2.0,2.0,1.0,2,55.0,92.0,84.0,35,35,13,0,175.0,105,5.121265167508752,39.0,84,5.09581390365808,0,39.0,51,5.282418905929209,0,60.0,74,5.808653464047526,1,105.0,117,6.992207249862566,0,183.0,101,5.151923201846385,0,149.0,104,5.206324394898531,0,12.0,89,8.033040611662823,0,250.0,8,6.42501496166053,0
9.0,2,3.0,1,8.0,5.0,5.0,1,0,8,1.0,2,2.0,2.0,2,2,1.0,2.0,1.0,0,2,2,15.0,11.0,6.0,0,2,2.0,2.0,2,2,2.0,2.0,13.0,6114.0,2,2,24.0,60.0,1,11.0,28.0,7,4.0,4.0,1.0,4,16.0,50.0,48.0,0,0,6,0,250.0,99,5.092626383844196,39.0,85,5.095646005613631,0,310.0,51,5.826338760170377,0,41.0,74,5.322280075778026,0,454.0,110,6.996497776138328,0,67.0,102,5.1340462747793065,0,177.0,99,5.161538053885831,0,90.0,81,7.038723790896876,0,25.0,74,7.74852429808158,0
11.0,2,1.0,1,8.0,1.0,5.0,2,0,7,6.0,2,2.0,1.0,1,2,1.0,2.0,2.0,0,1,2,13.0,11.0,6.0,0,1,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,2.0,40.0,7,2.0,2.0,1.0,3,14.0,76.0,65.0,0,35,0,0,250.0,104,5.108596396980399,39.0,86,5.088190822866261,0,45.0,52,5.184705823564197,0,259.0,78,5.816796998716081,0,104.0,108,7.024921465135176,0,265.0,101,5.115290249853076,0,61.0,106,5.197083658158378,0,80.0,87,7.905986532965676,1,313.0,8,6.623869245738271,0
1.0,2,3.0,2,8.0,5.0,5.0,2,0,10,6.0,2,2.0,2.0,2,2,1.0,2.0,2.0,0,1,2,10.0,11.0,6.0,0,8,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,97.0,60.0,9,2.0,2.0,8.0,3,6.0,70.0,67.0,0,0,0,0,220.0,102,5.1208792893489985,39.0,84,5.091894285244652,0,605.0,51,5.305058578271888,0,256.0,88,5.9605511611294615,0,105.0,113,6.949568150247016,0,288.0,102,5.1377872385780705,0,213.0,101,5.165993354583853,0,164.0,87,8.223847592488623,1,289.0,7,6.381520442553049,0
2.0,1,3.0,1,8.0,8.0,5.0,2,0,8,1.0,2,2.0,2.0,2,2,2.0,2.0,1.0,0,2,2,13.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,25.0,30.0,1,11.0,60.0,7,2.0,2.0,1.0,5,22.0,82.0,81.0,0,35,35,0,72.0,100,5.138538947667317,39.0,85,5.094424904926924,0,210.0,49,5.804620235077323,0,246.0,72,5.501916964707295,0,105.0,111,7.002022351908304,0,291.0,100,5.203697968900864,0,291.0,99,5.139316205096042,0,84.0,86,8.138940682169723,1,57.0,9,6.528048355269036,0
11.0,1,3.0,2,8.0,5.0,5.0,8,0,7,1.0,2,2.0,2.0,1,1,1.0,2.0,2.0,0,1,2,25.0,11.0,6.0,0,8,1.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,24.0,48.0,1,4.0,55.0,7,2.0,2.0,8.0,6,16.0,82.0,75.0,0,0,35,0,40.0,102,5.155866164633989,39.0,85,5.094815485001398,0,258.0,48,5.346842125908537,0,20.0,68,5.68825898075602,0,83.0,110,7.022131815269284,0,221.0,106,5.184727570820005,1,120.0,103,5.180421511954383,0,50.0,88,8.170442466028184,1,250.0,8,6.3357632967033055,0
1.0,1,3.0,2,8.0,5.0,5.0,2,0,8,1.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,2,2,8.0,11.0,6.0,0,1,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,18.0,40.0,1,4.0,52.0,7,2.0,2.0,1.0,4,15.0,82.0,66.0,0,0,35,0,208.0,99,5.133803764814106,39.0,84,5.096819558163671,0,456.0,52,5.189699858888982,0,246.0,74,5.544411835592839,0,83.0,113,7.032679226026174,0,307.0,103,5.157712901999294,0,2.0,106,5.180991681608737,0,84.0,87,8.185572727445553,1,250.0,8,6.3357632967033055,0
5.0,2,3.0,2,8.0,5.0,5.0,1,0,7,7.0,1,2.0,2.0,2,2,1.0,2.0,2.0,0,2,2,20.0,11.0,6.0,0,1,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,4.0,64.0,8,2.0,2.0,8.0,2,15.0,86.0,64.0,0,0,0,0,279.0,104,5.115975200484582,39.0,84,5.092150906732981,0,524.0,52,5.184892045810444,0,40.0,75,5.9932160613770975,0,105.0,116,6.994378309655192,0,43.0,100,5.132784667828238,0,193.0,108,5.236962075777022,1,126.0,100,7.99991089021974,0,228.0,12,6.925394596538091,1
1.0,2,3.0,2,8.0,6.0,5.0,2,0,8,2.0,2,2.0,2.0,1,2,2.0,2.0,1.0,0,1,2,27.0,11.0,6.0,0,1,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,16.0,45.0,2,11.0,50.0,7,6.0,2.0,1.0,3,24.0,86.0,68.0,0,35,0,0,423.0,100,5.1024350871028545,39.0,83,5.096347338641206,0,374.0,54,5.677436597534773,0,20.0,74,5.52034470085778,0,105.0,108,6.981342418398399,0,183.0,101,5.160119532961696,0,291.0,99,5.1311009158063525,0,84.0,88,7.961451900990212,1,160.0,15,7.154553418438814,0
5.0,2,3.0,1,8.0,5.0,5.0,2,0,8,1.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,2,2,2.0,11.0,6.0,0,2,2.0,2.0,2,2,2.0,2.0,13.0,6114.0,2,2,20.0,48.0,1,6.0,35.0,7,2.0,2.0,3.0,4,18.0,68.0,55.0,0,0,24,0,85.0,98,5.123088667822696,39.0,85,5.095930192049549,0,446.0,51,5.335128441317053,0,246.0,71,5.580393193642295,0,169.0,111,7.0333293307831255,0,398.0,107,5.146244812773011,0,255.0,106,5.168430668119465,0,196.0,87,7.51246786859511,1,328.0,9,7.022377172483869,0
11.0,2,3.0,2,8.0,5.0,5.0,1,0,8,1.0,2,2.0,2.0,2,2,1.0,2.0,2.0,0,1,2,28.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,9111.0,2,2,16.0,48.0,1,6.0,35.0,1,2.0,2.0,1.0,2,18.0,70.0,67.0,25,0,35,0,250.0,105,5.109992296585545,39.0,85,5.0992915382816735,0,460.0,52,5.280331133002288,0,116.0,72,5.8991380071701,0,169.0,117,7.019234410317607,0,97.0,108,5.127240790972,0,94.0,108,5.222590889416249,0,215.0,85,7.7911961488025865,0,365.0,13,7.104464248144548,1
11.0,2,3.0,2,8.0,5.0,5.0,2,0,7,1.0,2,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,28.0,11.0,1.0,0,1,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,48.0,8.0,1,2.0,58.0,7,2.0,2.0,1.0,3,12.0,97.0,94.0,0,0,35,0,250.0,104,5.115574629812942,39.0,83,5.095660020957616,0,457.0,51,5.179216149868111,0,261.0,78,5.991302319520382,0,83.0,112,7.011959483549725,0,265.0,98,5.127801889897169,0,120.0,103,5.183782059446248,0,164.0,88,8.236570642622874,0,83.0,8,6.099945253240015,0
1.0,1,3.0,2,8.0,5.0,3.0,2,0,8,1.0,2,2.0,2.0,1,2,1.0,2.0,2.0,0,2,2,16.0,11.0,1.0,0,2,2.0,1.0,1,2,2.0,2.0,11.0,9211.0,2,2,14.0,20.0,1,2.0,59.0,1,2.0,2.0,1.0,4,14.0,86.0,96.0,35,0,35,0,71.0,101,5.131592929697023,39.0,84,5.095288668858571,0,13.0,52,5.189688676933888,0,259.0,81,5.739918003368227,1,83.0,112,7.0181328464701425,0,307.0,98,5.1533969393360515,0,166.0,105,5.1802488957098465,0,80.0,88,8.274653828429926,0,83.0,8,6.099945253240015,0
5.0,2,2.0,2,8.0,5.0,5.0,2,0,6,6.0,2,1.0,2.0,1,2,1.0,2.0,2.0,0,2,2,24.0,11.0,6.0,0,2,2.0,2.0,2,2,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,2.0,46.0,7,2.0,2.0,1.0,3,10.0,70.0,79.0,0,0,0,0,250.0,104,5.1116632872950865,39.0,84,5.08796190108189,0,88.0,52,5.165927974061284,0,244.0,80,6.028685299713958,1,83.0,111,7.000575659510007,0,265.0,94,5.122055933715557,0,174.0,106,5.194084592117481,0,164.0,89,8.136051050954455,0,83.0,8,6.099945253240015,0
5.0,2,3.0,2,8.0,5.0,4.0,1,0,7,1.0,2,1.0,2.0,1,2,1.0,2.0,1.0,0,1,2,9.0,11.0,2.0,0,2,2.0,2.0,1,1,1.0,2.0,13.0,5223.0,2,2,23.0,21.0,1,4.0,60.0,1,2.0,6.0,1.0,2,20.0,70.0,85.0,10,0,2,0,279.0,106,5.118902538230863,39.0,83,5.099439059665872,0,367.0,50,5.366505786344017,0,60.0,77,5.715607356604756,0,105.0,114,6.993763807093151,0,183.0,101,5.1494584880192456,0,90.0,103,5.209986370212287,0,12.0,86,7.930531649758564,1,315.0,13,6.949416643727432,0
2.0,1,3.0,1,8.0,5.0,5.0,1,0,6,1.0,2,2.0,2.0,1,2,1.0,2.0,1.0,0,2,2,24.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,5221.0,2,2,24.0,40.0,1,11.0,29.0,2,6.0,11.0,1.0,5,23.0,61.0,58.0,35,0,35,0,171.0,96,5.096617736018364,39.0,86,5.0972806814032205,0,277.0,60,6.916136789261709,1,313.0,73,5.321905940693413,0,105.0,103,6.964505071721888,0,197.0,106,5.168465033084379,0,163.0,96,5.134041727965131,0,69.0,83,7.064155990034863,0,326.0,40,7.591123326777151,0
4.0,1,3.0,2,8.0,2.0,5.0,1,0,10,6.0,2,2.0,2.0,1,2,3.0,1.0,2.0,0,1,2,25.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,4.0,43.0,7,2.0,2.0,1.0,1,15.0,79.0,76.0,0,35,0,0,250.0,104,5.109509320126383,209.0,85,5.102578978000336,0,71.0,52,5.192567449818488,0,162.0,74,6.003491435549337,0,114.0,118,6.979283929682094,0,300.0,97,5.126169966269249,0,93.0,107,5.231149542983022,1,55.0,92,7.817217932760655,0,263.0,8,6.619730235079123,1
8.0,2,3.0,2,8.0,5.0,5.0,1,1,8,6.0,2,2.0,2.0,1,2,1.0,2.0,2.0,0,2,2,32.0,11.0,6.0,0,2,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,1,1,18.0,45.0,2,2.0,63.0,7,2.0,2.0,1.0,1,11.0,85.0,80.0,0,0,0,0,12.0,106,5.117424017205082,264.0,84,5.098891374515118,0,301.0,52,5.182322708286605,0,144.0,78,6.2762252806946615,0,113.0,120,6.944846728548096,0,204.0,95,5.128229840992106,0,193.0,107,5.226850325870305,0,12.0,91,7.989187953921942,1,311.0,8,6.102322922294531,0
7.0,2,3.0,2,8.0,5.0,5.0,2,0,7,1.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,31.0,11.0,3.0,0,2,2.0,2.0,1,8,2.0,2.0,13.0,6114.0,2,2,18.0,8.0,1,9.0,25.0,9,2.0,2.0,1.0,1,18.0,69.0,60.0,0,0,35,0,250.0,103,5.110952203842441,161.0,88,5.101651989820146,0,504.0,51,5.328539464740198,0,157.0,71,5.954935402124304,0,114.0,119,6.978743181919174,0,89.0,105,5.134322348320317,0,95.0,107,5.227064658175115,0,82.0,90,7.427132560602369,1,280.0,22,7.3398348364030435,0
7.0,2,3.0,1,8.0,5.0,5.0,2,0,7,1.0,1,2.0,2.0,2,2,1.0,2.0,2.0,0,2,2,9.0,11.0,1.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,18.0,48.0,1,4.0,26.0,7,6.0,2.0,1.0,5,16.0,57.0,57.0,0,0,35,0,208.0,96,5.101454870370632,39.0,86,5.096151394272432,0,115.0,51,5.626727482804653,0,297.0,72,5.498762851499255,0,83.0,111,7.008828125317277,1,80.0,108,5.137056349612468,0,283.0,111,5.190901968732386,0,196.0,87,7.2215090632045955,0,153.0,66,7.728068696618314,0
1.0,1,3.0,1,8.0,5.0,5.0,1,0,11,5.0,2,2.0,1.0,1,1,1.0,2.0,2.0,1,2,2,8.0,11.0,6.0,1,8,2.0,2.0,1,2,2.0,2.0,13.0,5221.0,2,2,18.0,45.0,2,11.0,25.0,2,2.0,4.0,1.0,5,16.0,60.0,59.0,35,0,0,0,283.0,97,5.1072691126022844,164.0,89,5.093794426235135,0,43.0,86,6.9736144177284345,0,250.0,75,5.357224399202872,0,104.0,106,6.946028161303331,0,9.0,109,5.150516593425106,0,55.0,99,5.151124300175306,0,296.0,86,7.003447964000589,0,108.0,48,7.5611186701343565,1
5.0,2,3.0,1,8.0,5.0,1.0,1,0,8,1.0,2,2.0,8.0,1,2,1.0,2.0,1.0,0,1,2,9.0,11.0,1.0,0,1,2.0,2.0,1,1,2.0,2.0,13.0,9111.0,2,2,16.0,25.0,1,4.0,26.0,1,2.0,2.0,1.0,4,15.0,70.0,47.0,3,0,1,0,273.0,100,5.117152719479787,39.0,85,5.095597381327975,0,524.0,51,5.231871818318508,0,225.0,72,5.502633814126502,0,83.0,110,7.023190045571019,0,163.0,104,5.125766401995351,0,283.0,107,5.207299545374922,0,196.0,89,7.582978458126062,0,175.0,34,7.599876074031942,1
4.0,2,3.0,1,8.0,2.0,5.0,2,0,8,6.0,2,2.0,2.0,1,2,1.0,2.0,1.0,1,2,2,13.0,11.0,1.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,1,2,10.0,45.0,2,4.0,25.0,7,2.0,2.0,1.0,6,15.0,45.0,44.0,0,35,0,0,208.0,97,5.112109117460097,165.0,85,5.117760713890792,0,434.0,50,5.440193946570433,0,147.0,71,5.58635803988996,0,83.0,112,7.005693905393554,0,80.0,103,5.129400603079035,0,283.0,105,5.209376174584661,0,22.0,87,7.4484726561351895,0,175.0,47,7.622558159697612,0
1.0,8,3.0,2,8.0,5.0,5.0,1,0,8,1.0,2,1.0,2.0,1,2,1.0,2.0,2.0,0,1,2,15.0,11.0,6.0,0,2,2.0,2.0,1,1,2.0,2.0,13.0,5221.0,2,2,20.0,8.0,1,8.0,60.0,1,2.0,2.0,1.0,8,30.0,70.0,96.0,12,0,35,0,79.0,102,5.153527240872087,172.0,83,5.094333866725638,0,284.0,51,5.5977750451055375,0,22.0,76,5.468023408073901,0,105.0,113,7.0172044459090435,0,291.0,100,5.197708553606045,0,291.0,99,5.142995656879269,0,84.0,87,8.169624563104998,0,115.0,12,6.825551719900461,1
1.0,1,3.0,1,8.0,5.0,5.0,1,0,10,5.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,23.0,11.0,6.0,1,1,2.0,2.0,1,2,2.0,2.0,13.0,2611.0,2,2,18.0,45.0,2,11.0,25.0,1,11.0,11.0,1.0,9,16.0,58.0,48.0,35,0,0,0,283.0,95,5.093832594741226,68.0,87,5.091063415725093,0,570.0,128,7.474627989815342,0,183.0,74,5.375493533776089,0,176.0,102,6.887954976585658,0,307.0,104,5.133615445830008,0,177.0,100,5.137745818975154,0,104.0,80,6.690625884293405,0,139.0,84,7.749761444951745,1
8.0,1,3.0,1,8.0,5.0,5.0,2,0,8,1.0,1,2.0,2.0,2,2,1.0,2.0,2.0,0,2,2,15.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,27.0,64.0,1,10.0,52.0,7,2.0,4.0,1.0,4,25.0,78.0,80.0,0,0,35,0,175.0,99,5.13897674534226,39.0,84,5.095603453402729,0,310.0,51,5.706208383668556,0,246.0,72,5.547052351951904,0,53.0,109,7.015050016000157,0,291.0,100,5.189715204664548,0,77.0,99,5.144920215476589,0,84.0,83,8.008089044673412,1,317.0,8,6.489569271358642,0
11.0,1,3.0,1,8.0,5.0,5.0,2,0,9,1.0,2,2.0,2.0,2,2,1.0,2.0,1.0,0,1,2,10.0,11.0,6.0,0,2,2.0,2.0,2,2,2.0,2.0,13.0,6114.0,2,2,20.0,8.0,1,6.0,33.0,7,2.0,2.0,1.0,2,18.0,63.0,56.0,0,0,35,0,250.0,103,5.100242500993099,39.0,86,5.097761197964815,0,70.0,51,5.3430782433687884,0,157.0,72,5.781368723238466,0,105.0,117,7.014040233378523,1,295.0,111,5.118534763393963,0,95.0,110,5.2221808308642865,0,113.0,85,7.337768356051127,0,96.0,19,7.457481989658454,0
5.0,1,3.0,2,8.0,5.0,5.0,1,0,6,7.0,2,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,18.0,11.0,6.0,0,1,2.0,2.0,2,1,2.0,2.0,13.0,6114.0,2,2,12.0,4.0,1,2.0,64.0,8,2.0,2.0,1.0,4,8.0,70.0,67.0,0,0,35,0,71.0,103,5.12853453284017,39.0,84,5.093603894614413,0,456.0,52,5.189756498974139,0,244.0,78,5.8999953387470905,0,83.0,118,6.964926514928969,0,112.0,99,5.153011536626831,0,120.0,105,5.186038612152832,0,164.0,94,8.250905676981416,1,333.0,8,6.14097490316101,0
1.0,1,3.0,2,8.0,5.0,8.0,1,0,10,1.0,2,1.0,2.0,2,2,1.0,2.0,1.0,0,2,2,8.0,11.0,4.0,1,2,2.0,2.0,1,2,2.0,2.0,13.0,2341.0,2,2,24.0,48.0,1,11.0,26.0,1,10.0,9.0,1.0,6,24.0,54.0,53.0,35,0,35,0,283.0,95,5.0914231025847725,39.0,85,5.0897027622482325,0,43.0,169,7.739342035274324,1,317.0,74,5.24351599734508,0,176.0,104,6.894682074843006,0,197.0,107,5.154179452366543,0,410.0,97,5.116333936561027,0,215.0,81,6.710457568594217,0,268.0,49,7.547088986465557,0
11.0,1,1.0,1,8.0,7.0,5.0,1,0,6,6.0,2,2.0,2.0,1,2,1.0,2.0,1.0,0,1,2,18.0,11.0,1.0,1,2,1.0,1.0,1,2,2.0,2.0,18.0,6114.0,2,2,17.0,45.0,2,5.0,25.0,7,4.0,4.0,1.0,3,22.0,57.0,50.0,0,21,0,0,250.0,103,5.083112578705832,372.0,88,5.084192285910621,0,410.0,69,6.307968957359943,0,98.0,72,5.312479598838468,0,83.0,106,6.96035603954068,0,29.0,104,5.11633215400139,0,141.0,101,5.156157911349772,0,21.0,83,6.792909089184276,0,260.0,106,7.795832714655647,1
11.0,2,3.0,1,8.0,5.0,5.0,2,0,7,1.0,2,2.0,8.0,2,2,1.0,2.0,1.0,0,8,2,26.0,11.0,6.0,0,2,2.0,2.0,2,8,2.0,2.0,13.0,9211.0,2,2,18.0,48.0,1,4.0,35.0,1,4.0,2.0,8.0,4,15.0,55.0,52.0,35,0,35,0,208.0,99,5.095770749826661,39.0,84,5.092560506745308,0,465.0,51,5.30724310784634,0,20.0,71,5.514305257278761,1,83.0,112,7.024153554440041,0,67.0,106,5.122543962927369,0,256.0,110,5.191702026213813,0,196.0,87,7.24871525000966,0,153.0,44,7.694392267925303,0
11.0,2,3.0,2,8.0,5.0,5.0,1,0,7,1.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,2,2,25.0,11.0,6.0,0,2,2.0,2.0,1,2,8.0,2.0,13.0,6310.0,2,2,12.0,40.0,1,2.0,55.0,6,2.0,2.0,2.0,3,12.0,86.0,85.0,35,0,35,0,78.0,104,5.1220744723286975,39.0,83,5.095729805155367,0,457.0,52,5.184009787535509,0,238.0,78,5.9260387409778446,0,83.0,114,7.008257323546394,0,265.0,96,5.125092358882835,0,120.0,105,5.185880655084373,0,164.0,88,8.22882947444402,1,333.0,8,6.161539644379134,0
